"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1128691782957576193","https://twitter.com/ElectionDay_bot/status/1128691782957576193","離下次投票 2020/01/11 ...還有 240 天。","2019-05-15 16:01 +0000","1410.0","18.0","0.01276595744680851","7.0","0.0","6.0","5.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1128329393175171074","https://twitter.com/ElectionDay_bot/status/1128329393175171074","離下次投票 2020/01/11 ...還有 241 天。","2019-05-14 16:01 +0000","755.0","4.0","0.005298013245033113","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1127967004151963648","https://twitter.com/ElectionDay_bot/status/1127967004151963648","離下次投票 2020/01/11 ...還有 242 天。","2019-05-13 16:01 +0000","813.0","5.0","0.006150061500615006","3.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1127604616751919104","https://twitter.com/ElectionDay_bot/status/1127604616751919104","離下次投票 2020/01/11 ...還有 243 天。","2019-05-12 16:01 +0000","745.0","6.0","0.008053691275167786","3.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1127242233399447552","https://twitter.com/ElectionDay_bot/status/1127242233399447552","離下次投票 2020/01/11 ...還有 244 天。","2019-05-11 16:01 +0000","430.0","3.0","0.0069767441860465115","1.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126879842773893122","https://twitter.com/ElectionDay_bot/status/1126879842773893122","離下次投票 2020/01/11 ...還有 245 天。","2019-05-10 16:01 +0000","3163.0","55.0","0.017388555169143217","10.0","1.0","11.0","26.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126517455159988224","https://twitter.com/ElectionDay_bot/status/1126517455159988224","離下次投票 2020/01/11 ...還有 246 天。","2019-05-09 16:01 +0000","708.0","6.0","0.00847457627118644","2.0","0.0","0.0","2.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126155066409390080","https://twitter.com/ElectionDay_bot/status/1126155066409390080","離下次投票 2020/01/11 ...還有 247 天。","2019-05-08 16:01 +0000","652.0","4.0","0.006134969325153374","2.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125792682880663553","https://twitter.com/ElectionDay_bot/status/1125792682880663553","離下次投票 2020/01/11 ...還有 248 天。","2019-05-07 16:01 +0000","890.0","9.0","0.010112359550561797","3.0","0.0","2.0","4.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125430293706485760","https://twitter.com/ElectionDay_bot/status/1125430293706485760","離下次投票 2020/01/11 ...還有 249 天。","2019-05-06 16:01 +0000","964.0","5.0","0.005186721991701245","3.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125067904146452480","https://twitter.com/ElectionDay_bot/status/1125067904146452480","離下次投票 2020/01/11 ...還有 250 天。","2019-05-05 16:01 +0000","584.0","3.0","0.005136986301369863","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1124705530830782464","https://twitter.com/ElectionDay_bot/status/1124705530830782464","離下次投票 2020/01/11 ...還有 251 天。","2019-05-04 16:01 +0000","706.0","4.0","0.0056657223796034","2.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1124343126167031811","https://twitter.com/ElectionDay_bot/status/1124343126167031811","離下次投票 2020/01/11 ...還有 252 天。","2019-05-03 16:01 +0000","958.0","15.0","0.015657620041753653","4.0","0.0","7.0","4.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1123980740008525824","https://twitter.com/ElectionDay_bot/status/1123980740008525824","離下次投票 2020/01/11 ...還有 253 天。","2019-05-02 16:01 +0000","752.0","9.0","0.011968085106382979","2.0","0.0","3.0","1.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1123618356412801024","https://twitter.com/ElectionDay_bot/status/1123618356412801024","離下次投票 2020/01/11 ...還有 254 天。","2019-05-01 16:01 +0000","718.0","8.0","0.011142061281337047","3.0","0.0","1.0","3.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
